date,state,cases,deaths,Population
3/5/2020,Texas,4,0,28995881
3/6/2020,Texas,5,0,28995881
3/7/2020,Texas,5,0,28995881
3/8/2020,Texas,5,0,28995881
3/9/2020,Texas,12,0,28995881
3/10/2020,Texas,16,0,28995881
3/11/2020,Texas,21,0,28995881
3/12/2020,Texas,21,0,28995881
3/13/2020,Texas,23,0,28995881
3/14/2020,Texas,23,0,28995881
3/15/2020,Texas,57,0,28995881
3/16/2020,Texas,57,0,28995881
3/17/2020,Texas,64,1,28995881
3/18/2020,Texas,83,2,28995881
3/19/2020,Texas,143,3,28995881
3/20/2020,Texas,194,5,28995881
3/21/2020,Texas,306,5,28995881
3/22/2020,Texas,331,5,28995881
3/23/2020,Texas,352,8,28995881
3/24/2020,Texas,715,10,28995881
3/25/2020,Texas,974,12,28995881
3/26/2020,Texas,1396,17,28995881
3/27/2020,Texas,1731,23,28995881
3/28/2020,Texas,2052,27,28995881
3/29/2020,Texas,2552,34,28995881
3/30/2020,Texas,2877,38,28995881
