date,county,state,cases,deaths,Population
3/24/2020,Autauga,Alabama,1,0,55869
3/25/2020,Autauga,Alabama,4,0,55869
3/26/2020,Autauga,Alabama,6,0,55869
3/27/2020,Autauga,Alabama,6,0,55869
3/28/2020,Autauga,Alabama,6,0,55869
3/29/2020,Autauga,Alabama,6,0,55869
3/14/2020,Baldwin,Alabama,1,0,223234
3/15/2020,Baldwin,Alabama,1,0,223234
3/16/2020,Baldwin,Alabama,1,0,223234
3/17/2020,Baldwin,Alabama,1,0,223234
3/18/2020,Baldwin,Alabama,1,0,223234
3/19/2020,Baldwin,Alabama,1,0,223234
3/20/2020,Baldwin,Alabama,2,0,223234
3/21/2020,Baldwin,Alabama,2,0,223234
3/22/2020,Baldwin,Alabama,2,0,223234
3/23/2020,Baldwin,Alabama,3,0,223234
3/24/2020,Baldwin,Alabama,4,0,223234
3/25/2020,Baldwin,Alabama,4,0,223234
3/26/2020,Baldwin,Alabama,5,0,223234
3/27/2020,Baldwin,Alabama,5,0,223234
3/28/2020,Baldwin,Alabama,10,0,223234
3/29/2020,Baldwin,Alabama,15,0,223234
3/25/2020,Blount,Alabama,1,0,57826
3/26/2020,Blount,Alabama,3,0,57826
3/27/2020,Blount,Alabama,5,0,57826
3/28/2020,Blount,Alabama,5,0,57826
3/29/2020,Blount,Alabama,5,0,57826
3/26/2020,Bullock,Alabama,2,0,10101
3/27/2020,Bullock,Alabama,2,0,10101
3/28/2020,Bullock,Alabama,3,0,10101
3/29/2020,Bullock,Alabama,3,0,10101
3/25/2020,Butler,Alabama,1,0,19448
3/26/2020,Butler,Alabama,1,0,19448
3/27/2020,Butler,Alabama,1,0,19448
3/28/2020,Butler,Alabama,1,0,19448
3/29/2020,Butler,Alabama,1,0,19448
3/18/2020,Calhoun,Alabama,1,0,113605
3/19/2020,Calhoun,Alabama,1,0,113605
3/20/2020,Calhoun,Alabama,1,0,113605
3/21/2020,Calhoun,Alabama,1,0,113605
3/22/2020,Calhoun,Alabama,1,0,113605
3/23/2020,Calhoun,Alabama,2,0,113605
3/24/2020,Calhoun,Alabama,2,0,113605
3/25/2020,Calhoun,Alabama,2,0,113605
3/26/2020,Calhoun,Alabama,2,0,113605
3/27/2020,Calhoun,Alabama,3,0,113605
3/28/2020,Calhoun,Alabama,3,0,113605
3/29/2020,Calhoun,Alabama,3,0,113605
3/19/2020,Chambers,Alabama,1,0,33254
3/20/2020,Chambers,Alabama,1,0,33254
3/21/2020,Chambers,Alabama,1,0,33254
3/22/2020,Chambers,Alabama,2,0,33254
3/23/2020,Chambers,Alabama,2,0,33254
3/24/2020,Chambers,Alabama,5,0,33254
3/25/2020,Chambers,Alabama,10,0,33254
3/26/2020,Chambers,Alabama,13,0,33254
3/27/2020,Chambers,Alabama,15,0,33254
3/28/2020,Chambers,Alabama,17,0,33254
3/29/2020,Chambers,Alabama,27,1,33254
3/25/2020,Cherokee,Alabama,1,0,26196
3/26/2020,Cherokee,Alabama,1,0,26196
3/27/2020,Cherokee,Alabama,1,0,26196
3/28/2020,Cherokee,Alabama,1,0,26196
3/29/2020,Cherokee,Alabama,2,0,26196
3/25/2020,Chilton,Alabama,1,0,44428
3/26/2020,Chilton,Alabama,4,0,44428
3/27/2020,Chilton,Alabama,7,0,44428
3/28/2020,Chilton,Alabama,7,0,44428
3/29/2020,Chilton,Alabama,8,0,44428
3/26/2020,Choctaw,Alabama,1,0,12589
3/27/2020,Choctaw,Alabama,1,0,12589
3/28/2020,Choctaw,Alabama,1,0,12589
3/29/2020,Choctaw,Alabama,1,0,12589
3/25/2020,Clay,Alabama,1,0,13235
3/26/2020,Clay,Alabama,1,0,13235
3/27/2020,Clay,Alabama,1,0,13235
3/28/2020,Clay,Alabama,2,0,13235
3/29/2020,Clay,Alabama,2,0,13235
3/25/2020,Cleburne,Alabama,1,0,14910
3/26/2020,Cleburne,Alabama,1,0,14910
3/27/2020,Cleburne,Alabama,3,0,14910
3/28/2020,Cleburne,Alabama,4,0,14910
3/29/2020,Cleburne,Alabama,5,0,14910
3/25/2020,Colbert,Alabama,1,0,55241
3/26/2020,Colbert,Alabama,1,0,55241
3/27/2020,Colbert,Alabama,1,0,55241
3/28/2020,Colbert,Alabama,1,0,55241
3/29/2020,Colbert,Alabama,2,0,55241
3/26/2020,Coosa,Alabama,2,0,10663
3/27/2020,Coosa,Alabama,2,0,10663
3/28/2020,Coosa,Alabama,2,0,10663
3/29/2020,Coosa,Alabama,3,0,10663
3/27/2020,Covington,Alabama,2,0,37049
3/28/2020,Covington,Alabama,2,0,37049
3/29/2020,Covington,Alabama,2,0,37049
3/26/2020,Crenshaw,Alabama,1,0,13772
3/27/2020,Crenshaw,Alabama,1,0,13772
3/28/2020,Crenshaw,Alabama,1,0,13772
3/29/2020,Crenshaw,Alabama,1,0,13772
3/20/2020,Cullman,Alabama,1,0,83768
3/21/2020,Cullman,Alabama,2,0,83768
3/22/2020,Cullman,Alabama,2,0,83768
3/23/2020,Cullman,Alabama,2,0,83768
3/24/2020,Cullman,Alabama,3,0,83768
3/25/2020,Cullman,Alabama,4,0,83768
3/26/2020,Cullman,Alabama,6,0,83768
3/27/2020,Cullman,Alabama,7,0,83768
3/28/2020,Cullman,Alabama,7,0,83768
3/29/2020,Cullman,Alabama,7,0,83768
3/25/2020,Dallas,Alabama,2,0,37196
3/26/2020,Dallas,Alabama,2,0,37196
3/27/2020,Dallas,Alabama,2,0,37196
3/28/2020,Dallas,Alabama,2,0,37196
3/29/2020,Dallas,Alabama,2,0,37196
3/26/2020,DeKalb,Alabama,1,0,71513
3/27/2020,DeKalb,Alabama,4,0,71513
3/28/2020,DeKalb,Alabama,4,0,71513
3/29/2020,DeKalb,Alabama,4,0,71513
3/13/2020,Elmore,Alabama,1,0,81209
3/14/2020,Elmore,Alabama,1,0,81209
3/15/2020,Elmore,Alabama,1,0,81209
3/16/2020,Elmore,Alabama,1,0,81209
3/17/2020,Elmore,Alabama,2,0,81209
3/18/2020,Elmore,Alabama,4,0,81209
3/19/2020,Elmore,Alabama,5,0,81209
3/20/2020,Elmore,Alabama,6,0,81209
3/21/2020,Elmore,Alabama,6,0,81209
3/22/2020,Elmore,Alabama,6,0,81209
3/23/2020,Elmore,Alabama,6,0,81209
3/24/2020,Elmore,Alabama,8,0,81209
3/25/2020,Elmore,Alabama,9,0,81209
3/26/2020,Elmore,Alabama,10,0,81209
3/27/2020,Elmore,Alabama,12,0,81209
3/28/2020,Elmore,Alabama,13,0,81209
3/29/2020,Elmore,Alabama,13,0,81209
3/27/2020,Escambia,Alabama,1,0,36633
3/28/2020,Escambia,Alabama,1,0,36633
3/29/2020,Escambia,Alabama,1,0,36633
3/25/2020,Etowah,Alabama,3,0,102268
3/26/2020,Etowah,Alabama,4,0,102268
3/27/2020,Etowah,Alabama,5,0,102268
3/28/2020,Etowah,Alabama,6,0,102268
3/29/2020,Etowah,Alabama,6,0,102268
3/23/2020,Franklin,Alabama,1,0,31362
3/24/2020,Franklin,Alabama,1,0,31362
3/25/2020,Franklin,Alabama,2,0,31362
3/26/2020,Franklin,Alabama,3,0,31362
3/27/2020,Franklin,Alabama,3,0,31362
3/28/2020,Franklin,Alabama,3,0,31362
3/29/2020,Franklin,Alabama,3,0,31362
3/27/2020,Greene,Alabama,1,0,8111
3/28/2020,Greene,Alabama,3,0,8111
3/29/2020,Greene,Alabama,3,0,8111
3/23/2020,Houston,Alabama,1,0,105882
3/24/2020,Houston,Alabama,1,0,105882
3/25/2020,Houston,Alabama,2,0,105882
3/26/2020,Houston,Alabama,3,0,105882
3/27/2020,Houston,Alabama,4,0,105882
3/28/2020,Houston,Alabama,4,0,105882
3/29/2020,Houston,Alabama,8,0,105882
3/20/2020,Jackson,Alabama,1,0,51626
3/21/2020,Jackson,Alabama,1,0,51626
3/22/2020,Jackson,Alabama,1,0,51626
3/23/2020,Jackson,Alabama,1,0,51626
3/24/2020,Jackson,Alabama,2,0,51626
3/25/2020,Jackson,Alabama,2,1,51626
3/26/2020,Jackson,Alabama,4,1,51626
3/27/2020,Jackson,Alabama,5,1,51626
3/28/2020,Jackson,Alabama,5,1,51626
3/29/2020,Jackson,Alabama,5,1,51626
3/13/2020,Jefferson,Alabama,2,0,658573
3/14/2020,Jefferson,Alabama,6,0,658573
3/15/2020,Jefferson,Alabama,13,0,658573
3/16/2020,Jefferson,Alabama,17,0,658573
3/17/2020,Jefferson,Alabama,21,0,658573
3/18/2020,Jefferson,Alabama,25,0,658573
3/19/2020,Jefferson,Alabama,34,0,658573
3/20/2020,Jefferson,Alabama,50,0,658573
3/21/2020,Jefferson,Alabama,61,0,658573
3/22/2020,Jefferson,Alabama,71,0,658573
3/23/2020,Jefferson,Alabama,86,0,658573
3/24/2020,Jefferson,Alabama,91,0,658573
3/25/2020,Jefferson,Alabama,129,0,658573
3/26/2020,Jefferson,Alabama,173,0,658573
3/27/2020,Jefferson,Alabama,179,0,658573
3/28/2020,Jefferson,Alabama,214,0,658573
3/29/2020,Jefferson,Alabama,246,0,658573
3/20/2020,Lamar,Alabama,1,0,13805
3/21/2020,Lamar,Alabama,1,0,13805
3/22/2020,Lamar,Alabama,1,0,13805
3/23/2020,Lamar,Alabama,1,0,13805
3/24/2020,Lamar,Alabama,1,0,13805
3/25/2020,Lamar,Alabama,1,0,13805
3/26/2020,Lamar,Alabama,1,0,13805
3/27/2020,Lamar,Alabama,1,0,13805
3/28/2020,Lamar,Alabama,1,0,13805
3/29/2020,Lamar,Alabama,1,0,13805
3/20/2020,Lauderdale,Alabama,1,0,92729
3/21/2020,Lauderdale,Alabama,2,0,92729
3/22/2020,Lauderdale,Alabama,2,0,92729
3/23/2020,Lauderdale,Alabama,3,0,92729
3/24/2020,Lauderdale,Alabama,3,0,92729
3/25/2020,Lauderdale,Alabama,7,0,92729
3/26/2020,Lauderdale,Alabama,9,1,92729
3/27/2020,Lauderdale,Alabama,11,1,92729
3/28/2020,Lauderdale,Alabama,13,1,92729
3/29/2020,Lauderdale,Alabama,12,1,92729
3/25/2020,Lawrence,Alabama,1,0,32924
3/26/2020,Lawrence,Alabama,3,0,32924
3/27/2020,Lawrence,Alabama,3,0,32924
3/28/2020,Lawrence,Alabama,3,0,32924
3/29/2020,Lawrence,Alabama,3,0,32924
3/15/2020,Lee,Alabama,1,0,164542
3/16/2020,Lee,Alabama,1,0,164542
3/17/2020,Lee,Alabama,3,0,164542
3/18/2020,Lee,Alabama,7,0,164542
3/19/2020,Lee,Alabama,10,0,164542
3/20/2020,Lee,Alabama,11,0,164542
3/21/2020,Lee,Alabama,12,0,164542
3/22/2020,Lee,Alabama,16,0,164542
