date,state,cases,deaths,Population
3/13/2020,Alabama,6,0,4903185
3/14/2020,Alabama,12,0,4903185
3/15/2020,Alabama,23,0,4903185
3/16/2020,Alabama,29,0,4903185
3/17/2020,Alabama,39,0,4903185
3/18/2020,Alabama,51,0,4903185
3/19/2020,Alabama,78,0,4903185
3/20/2020,Alabama,106,0,4903185
3/21/2020,Alabama,131,0,4903185
3/22/2020,Alabama,157,0,4903185
3/23/2020,Alabama,196,0,4903185
3/24/2020,Alabama,242,0,4903185
3/25/2020,Alabama,386,1,4903185
3/26/2020,Alabama,538,3,4903185
3/27/2020,Alabama,639,4,4903185
3/28/2020,Alabama,720,4,4903185
3/29/2020,Alabama,830,5,4903185
3/12/2020,Alaska,1,0,731545
3/13/2020,Alaska,1,0,731545
3/14/2020,Alaska,1,0,731545
3/15/2020,Alaska,1,0,731545
3/16/2020,Alaska,3,0,731545
3/17/2020,Alaska,6,0,731545
3/18/2020,Alaska,9,0,731545
3/19/2020,Alaska,12,0,731545
3/20/2020,Alaska,14,0,731545
3/21/2020,Alaska,21,0,731545
3/22/2020,Alaska,22,0,731545
3/23/2020,Alaska,36,0,731545
3/24/2020,Alaska,42,0,731545
3/25/2020,Alaska,59,0,731545
3/26/2020,Alaska,69,0,731545
3/27/2020,Alaska,85,1,731545
3/28/2020,Alaska,102,1,731545
3/29/2020,Alaska,114,1,731545
1/26/2020,Arizona,1,0,7278717
1/27/2020,Arizona,1,0,7278717
1/28/2020,Arizona,1,0,7278717
1/29/2020,Arizona,1,0,7278717
1/30/2020,Arizona,1,0,7278717
1/31/2020,Arizona,1,0,7278717
2/1/2020,Arizona,1,0,7278717
2/2/2020,Arizona,1,0,7278717
2/3/2020,Arizona,1,0,7278717
2/4/2020,Arizona,1,0,7278717
2/5/2020,Arizona,1,0,7278717
2/6/2020,Arizona,1,0,7278717
2/7/2020,Arizona,1,0,7278717
2/8/2020,Arizona,1,0,7278717
2/9/2020,Arizona,1,0,7278717
2/10/2020,Arizona,1,0,7278717
2/11/2020,Arizona,1,0,7278717
2/12/2020,Arizona,1,0,7278717
2/13/2020,Arizona,1,0,7278717
2/14/2020,Arizona,1,0,7278717
2/15/2020,Arizona,1,0,7278717
2/16/2020,Arizona,1,0,7278717
2/17/2020,Arizona,1,0,7278717
2/18/2020,Arizona,1,0,7278717
2/19/2020,Arizona,1,0,7278717
2/20/2020,Arizona,1,0,7278717
2/21/2020,Arizona,1,0,7278717
2/22/2020,Arizona,1,0,7278717
2/23/2020,Arizona,1,0,7278717
2/24/2020,Arizona,1,0,7278717
2/25/2020,Arizona,1,0,7278717
2/26/2020,Arizona,1,0,7278717
2/27/2020,Arizona,1,0,7278717
2/28/2020,Arizona,1,0,7278717
2/29/2020,Arizona,1,0,7278717
3/1/2020,Arizona,1,0,7278717
3/2/2020,Arizona,1,0,7278717
3/3/2020,Arizona,2,0,7278717
3/4/2020,Arizona,2,0,7278717
3/5/2020,Arizona,2,0,7278717
3/6/2020,Arizona,3,0,7278717
3/7/2020,Arizona,5,0,7278717
3/8/2020,Arizona,5,0,7278717
3/9/2020,Arizona,6,0,7278717
3/10/2020,Arizona,6,0,7278717
3/11/2020,Arizona,9,0,7278717
3/12/2020,Arizona,9,0,7278717
3/13/2020,Arizona,9,0,7278717
3/14/2020,Arizona,12,0,7278717
3/15/2020,Arizona,13,0,7278717
3/16/2020,Arizona,18,0,7278717
3/17/2020,Arizona,20,0,7278717
3/18/2020,Arizona,28,0,7278717
3/19/2020,Arizona,47,0,7278717
3/20/2020,Arizona,70,1,7278717
3/21/2020,Arizona,104,1,7278717
3/22/2020,Arizona,153,2,7278717
3/23/2020,Arizona,234,2,7278717
3/24/2020,Arizona,326,6,7278717
3/25/2020,Arizona,402,6,7278717
3/26/2020,Arizona,508,8,7278717
3/27/2020,Arizona,665,15,7278717
3/28/2020,Arizona,773,15,7278717
3/29/2020,Arizona,929,18,7278717
3/11/2020,Arkansas,1,0,3017804
3/12/2020,Arkansas,6,0,3017804
3/13/2020,Arkansas,7,0,3017804
3/14/2020,Arkansas,9,0,3017804
3/15/2020,Arkansas,16,0,3017804
3/16/2020,Arkansas,22,0,3017804
3/17/2020,Arkansas,22,0,3017804
3/18/2020,Arkansas,33,0,3017804
3/19/2020,Arkansas,62,0,3017804
3/20/2020,Arkansas,100,0,3017804
3/21/2020,Arkansas,118,0,3017804
3/22/2020,Arkansas,165,0,3017804
3/23/2020,Arkansas,201,0,3017804
3/24/2020,Arkansas,232,2,3017804
3/25/2020,Arkansas,308,2,3017804
3/26/2020,Arkansas,351,3,3017804
3/27/2020,Arkansas,386,3,3017804
3/28/2020,Arkansas,409,5,3017804
3/29/2020,Arkansas,449,6,3017804
1/25/2020,California,1,0,39512223
1/26/2020,California,2,0,39512223
1/27/2020,California,2,0,39512223
