"Date","Day","Country","Cases","Death","Population","Cases_Percent","Death_Percent"
2020-03-22,0,"Afghanistan",40,1,37172386,0.00000108,0.00000003
2020-03-23,1,"Afghanistan",40,1,37172386,0.00000108,0.00000003
2020-03-24,2,"Afghanistan",74,1,37172386,0.00000199,0.00000003
2020-03-25,3,"Afghanistan",84,2,37172386,0.00000226,0.00000005
2020-03-26,4,"Afghanistan",94,4,37172386,0.00000253,0.00000011
2020-03-27,5,"Afghanistan",110,4,37172386,0.00000296,0.00000011
2020-03-28,6,"Afghanistan",110,4,37172386,0.00000296,0.00000011
2020-03-29,7,"Afghanistan",120,4,37172386,0.00000323,0.00000011
2020-03-30,8,"Afghanistan",170,4,37172386,0.00000457,0.00000011
2020-03-31,9,"Afghanistan",174,4,37172386,0.00000468,0.00000011
2020-04-01,10,"Afghanistan",237,4,37172386,0.00000638,0.00000011
2020-04-02,11,"Afghanistan",273,6,37172386,0.00000734,0.00000016
2020-04-03,12,"Afghanistan",281,6,37172386,0.00000756,0.00000016
2020-04-04,13,"Afghanistan",299,7,37172386,0.00000804,0.00000019
2020-04-05,14,"Afghanistan",349,7,37172386,0.00000939,0.00000019
2020-03-11,0,"Albania",12,1,2866376,0.00000419,0.00000035
2020-03-12,1,"Albania",23,1,2866376,0.00000802,0.00000035
2020-03-13,2,"Albania",33,1,2866376,0.00001151,0.00000035
2020-03-14,3,"Albania",38,1,2866376,0.00001326,0.00000035
2020-03-15,4,"Albania",42,1,2866376,0.00001465,0.00000035
2020-03-16,5,"Albania",51,1,2866376,0.00001779,0.00000035
2020-03-17,6,"Albania",55,1,2866376,0.00001919,0.00000035
2020-03-18,7,"Albania",59,2,2866376,0.00002058,0.0000007
2020-03-19,8,"Albania",64,2,2866376,0.00002233,0.0000007
2020-03-20,9,"Albania",70,2,2866376,0.00002442,0.0000007
2020-03-21,10,"Albania",76,2,2866376,0.00002651,0.0000007
2020-03-22,11,"Albania",89,2,2866376,0.00003105,0.0000007
2020-03-23,12,"Albania",104,4,2866376,0.00003628,0.0000014
2020-03-24,13,"Albania",123,5,2866376,0.00004291,0.00000174
2020-03-25,14,"Albania",146,5,2866376,0.00005094,0.00000174
2020-03-26,15,"Albania",174,6,2866376,0.0000607,0.00000209
2020-03-27,16,"Albania",186,8,2866376,0.00006489,0.00000279
2020-03-28,17,"Albania",197,10,2866376,0.00006873,0.00000349
2020-03-29,18,"Albania",212,10,2866376,0.00007396,0.00000349
2020-03-30,19,"Albania",223,11,2866376,0.0000778,0.00000384
2020-03-31,20,"Albania",243,15,2866376,0.00008478,0.00000523
2020-04-01,21,"Albania",259,15,2866376,0.00009036,0.00000523
2020-04-02,22,"Albania",277,16,2866376,0.00009664,0.00000558
2020-04-03,23,"Albania",304,17,2866376,0.00010606,0.00000593
2020-04-04,24,"Albania",333,20,2866376,0.00011617,0.00000698
2020-04-05,25,"Albania",361,20,2866376,0.00012594,0.00000698
2020-03-12,0,"Algeria",24,1,42228429,0.00000057,0.00000002
2020-03-13,1,"Algeria",26,2,42228429,0.00000062,0.00000005
2020-03-14,2,"Algeria",37,3,42228429,0.00000088,0.00000007
2020-03-15,3,"Algeria",48,4,42228429,0.00000114,0.00000009
2020-03-16,4,"Algeria",54,4,42228429,0.00000128,0.00000009
2020-03-17,5,"Algeria",60,4,42228429,0.00000142,0.00000009
2020-03-18,6,"Algeria",74,7,42228429,0.00000175,0.00000017
2020-03-19,7,"Algeria",87,9,42228429,0.00000206,0.00000021
2020-03-20,8,"Algeria",90,11,42228429,0.00000213,0.00000026
2020-03-21,9,"Algeria",139,15,42228429,0.00000329,0.00000036
2020-03-22,10,"Algeria",201,17,42228429,0.00000476,0.0000004
2020-03-23,11,"Algeria",230,17,42228429,0.00000545,0.0000004
2020-03-24,12,"Algeria",264,19,42228429,0.00000625,0.00000045
2020-03-25,13,"Algeria",302,21,42228429,0.00000715,0.0000005
2020-03-26,14,"Algeria",367,25,42228429,0.00000869,0.00000059
2020-03-27,15,"Algeria",409,26,42228429,0.00000969,0.00000062
2020-03-28,16,"Algeria",454,29,42228429,0.00001075,0.00000069
2020-03-29,17,"Algeria",511,31,42228429,0.0000121,0.00000073
2020-03-30,18,"Algeria",584,35,42228429,0.00001383,0.00000083
2020-03-31,19,"Algeria",716,44,42228429,0.00001696,0.00000104
2020-04-01,20,"Algeria",847,58,42228429,0.00002006,0.00000137
2020-04-02,21,"Algeria",986,86,42228429,0.00002335,0.00000204
2020-04-03,22,"Algeria",1171,105,42228429,0.00002773,0.00000249
2020-04-04,23,"Algeria",1251,130,42228429,0.00002962,0.00000308
2020-04-05,24,"Algeria",1320,152,42228429,0.00003126,0.0000036
2020-03-22,0,"Andorra",113,1,77006,0.00146742,0.00001299
2020-03-23,1,"Andorra",133,1,77006,0.00172714,0.00001299
2020-03-24,2,"Andorra",164,1,77006,0.0021297,0.00001299
2020-03-25,3,"Andorra",188,1,77006,0.00244137,0.00001299
2020-03-26,4,"Andorra",224,3,77006,0.00290886,0.00003896
2020-03-27,5,"Andorra",267,3,77006,0.00346726,0.00003896
2020-03-28,6,"Andorra",308,3,77006,0.00399969,0.00003896
2020-03-29,7,"Andorra",334,6,77006,0.00433732,0.00007792
2020-03-30,8,"Andorra",370,8,77006,0.00480482,0.00010389
2020-03-31,9,"Andorra",376,12,77006,0.00488274,0.00015583
2020-04-01,10,"Andorra",390,14,77006,0.00506454,0.0001818
2020-04-02,11,"Andorra",428,15,77006,0.00555801,0.00019479
2020-04-03,12,"Andorra",439,16,77006,0.00570085,0.00020778
2020-04-04,13,"Andorra",466,17,77006,0.00605148,0.00022076
2020-04-05,14,"Andorra",501,18,77006,0.00650599,0.00023375
2020-03-29,0,"Angola",7,2,30809762,0.00000023,0.00000006
