"Date","Day","State","Cases","Death","Population","Cases_Percent","Death_Percent"
2020-03-25,0,"Alabama",381,1,4903185,0.0000777,0.0000002
2020-03-26,1,"Alabama",517,1,4903185,0.00010544,0.0000002
2020-03-27,2,"Alabama",587,4,4903185,0.00011972,0.00000082
2020-03-28,3,"Alabama",694,4,4903185,0.00014154,0.00000082
2020-03-29,4,"Alabama",825,10,4903185,0.00016826,0.00000204
2020-03-30,5,"Alabama",899,10,4903185,0.00018335,0.00000204
2020-03-31,6,"Alabama",987,23,4903185,0.0002013,0.00000469
2020-04-01,7,"Alabama",1060,27,4903185,0.00021619,0.00000551
2020-04-02,8,"Alabama",1233,32,4903185,0.00025147,0.00000653
2020-04-03,9,"Alabama",1495,38,4903185,0.0003049,0.00000775
2020-04-04,10,"Alabama",1614,44,4903185,0.00032917,0.00000897
2020-03-25,0,"Alaska",41,1,731545,0.00005605,0.00000137
2020-03-26,1,"Alaska",56,1,731545,0.00007655,0.00000137
2020-03-27,2,"Alaska",58,1,731545,0.00007928,0.00000137
2020-03-28,3,"Alaska",85,2,731545,0.00011619,0.00000273
2020-03-29,4,"Alaska",102,2,731545,0.00013943,0.00000273
2020-03-30,5,"Alaska",114,3,731545,0.00015583,0.0000041
2020-03-31,6,"Alaska",119,3,731545,0.00016267,0.0000041
2020-04-01,7,"Alaska",132,3,731545,0.00018044,0.0000041
2020-04-02,8,"Alaska",143,3,731545,0.00019548,0.0000041
2020-04-03,9,"Alaska",157,3,731545,0.00021461,0.0000041
2020-04-04,10,"Alaska",171,5,731545,0.00023375,0.00000683
2020-03-21,0,"Arizona",104,1,7278717,0.00001429,0.00000014
2020-03-22,1,"Arizona",152,2,7278717,0.00002088,0.00000027
2020-03-23,2,"Arizona",235,2,7278717,0.00003229,0.00000027
2020-03-24,3,"Arizona",326,5,7278717,0.00004479,0.00000069
2020-03-25,4,"Arizona",401,6,7278717,0.00005509,0.00000082
2020-03-26,5,"Arizona",508,8,7278717,0.00006979,0.0000011
2020-03-27,6,"Arizona",665,13,7278717,0.00009136,0.00000179
2020-03-28,7,"Arizona",773,15,7278717,0.0001062,0.00000206
