State,HomlessPop
California,129972
New York,91897
Florida,31030
Texas,25310
Washington,22304
Massachusetts,20068
Oregon,14476
Pennsylvania,13512
Colorado,10857
Illinois,10643
Ohio,10249
Arizona,9865
Georgia,9499
New Jersey,9398
North Carolina,9268
Michigan,8351
Tennessee,7883
Nevada,7544
Minnesota,7243
Maryland,7144
District of Columbia,6904
Hawaii,6530
Virginia,5975
Missouri,5883
Indiana,5258
Wisconsin,4907
Connecticut,3976
South Carolina,3933
Oklahoma,3871
Kentucky,3688
Alabama,3434
Puerto Rico,3182
Louisiana,3059
Utah,2876
Iowa,2749
Arkansas,2712
New Mexico,2551
Maine,2516
Nebraska,2421
Kansas,2216
Alaska,2016
Idaho,2012
New Hampshire,1450
Montana,1405
Mississippi,1352
Vermont,1291
West Virginia,1243
South Dakota,1159
Rhode Island,1101
Delaware,1082
Northern Marianas,1044
Guam,854
Wyoming,639
North Dakota,542
Virgin Islands,486
