State Name,Population,Area,PopDensity
Alabama,4858979,50744,95.80
Alaska,738432,571951,1.30
Arizona,6828065,113635,60.10
Arkansas,2978204,52068,57.20
California,39144818,155959,251.00
Colorado,5456574,103718,52.60
Connecticut,3590886,4845,741.20
Delaware,945934,1954,484.10
Florida,20271272,53927,375.90
Georgia,10214860,57906,176.40
Hawaii,1431603,6423,222.90
Idaho,1654930,82747,20.00
Illinois,12859995,55584,231.40
Indiana,6619680,35867,184.60
Iowa,3123899,55869,55.90
Kansas,2911641,81815,35.60
Kentucky,4425092,39728,111.40
Louisiana,4670724,43562,107.20
Maine,1329328,30862,43.10
Maryland,6006401,9774,614.50
Massachusetts,6794422,7840,866.60
Michigan,9922576,56804,174.70
Minnesota,5489594,79610,69.00
Mississippi,2992333,46907,63.80
Missouri,6083672,68886,88.30
Montana,1032949,145552,7.10
Nebraska,1896190,76872,24.70
Nevada,2890845,109826,26.30
New Hampshire,1330608,8968,148.40
New Jersey,8958013,7417,1207.80
New Mexico,2085109,121356,17.20
New York,19795791,47214,419.30
North Carolina,10042802,48711,206.20
North Dakota,756927,68976,11.00
Ohio,11613423,40948,283.60
Oklahoma,3911338,68667,57.00
Oregon,4028977,95997,42.00
Pennsylvania,12802503,44817,285.70
Rhode Island,1056298,1045,1010.80
South Carolina,4896146,30110,162.60
South Dakota,858469,75885,11.30
Tennessee,6600299,41217,160.10
Texas,27469114,261797,104.90
Utah,2995919,82144,36.50
Vermont,626042,9250,67.70
Virginia,8382993,39594,211.70
Washington,7170351,66544,107.80
West Virginia,1844128,24078,76.60
Wisconsin,5771337,54310,106.30
Wyoming,586107,97100,6.00
