State,White,Black,Hispanic,Native_indian,Asian,Hawaiian,Two_more
United States,0.60,0.12,0.18,0.01,0.06,0.00,0.03
Alabama,0.66,0.26,0.04,0.00,0.01,0.00,0.02
Alaska,0.60,0.03,0.07,0.16,0.06,0.01,0.07
Arizona,0.54,0.04,0.32,0.04,0.03,0.00,0.02
Arkansas,0.72,0.15,0.08,0.01,0.02,0.00,0.03
California,0.37,0.05,0.39,0.00,0.15,0.00,0.03
Colorado,0.68,0.04,0.22,0.01,0.03,0.00,0.03
Connecticut,0.66,0.10,0.17,0.00,0.05,0.00,0.02
Delaware,0.62,0.21,0.09,0.00,0.04,0.00,0.03
District of Columbia,0.37,0.45,0.11,0.00,0.04,0.00,0.03
Florida,0.53,0.15,0.26,0.00,0.03,0.00,0.02
Georgia,0.52,0.31,0.10,0.00,0.04,0.00,0.02
Hawaii,0.21,0.02,0.10,0.00,0.38,0.10,0.20
Idaho,0.82,0.01,0.13,0.01,0.02,0.00,0.02
Illinois,0.61,0.14,0.17,0.00,0.06,0.00,0.02
Indiana,0.79,0.09,0.07,0.00,0.02,0.00,0.02
Iowa,0.86,0.03,0.06,0.00,0.03,0.00,0.02
Kansas,0.76,0.05,0.12,0.01,0.03,0.00,0.03
Kentucky,0.85,0.08,0.04,0.00,0.01,0.00,0.02
Louisiana,0.59,0.32,0.05,0.01,0.02,0.00,0.02
Maine,0.93,0.01,0.02,0.00,0.01,0.00,0.02
Maryland,0.50,0.29,0.10,0.00,0.06,0.00,0.03
Massachusetts,0.71,0.07,0.12,0.00,0.07,0.00,0.03
Michigan,0.75,0.14,0.05,0.00,0.03,0.00,0.03
Minnesota,0.80,0.06,0.05,0.01,0.05,0.00,0.03
Mississippi,0.57,0.38,0.03,0.00,0.01,0.00,0.01
Missouri,0.80,0.11,0.04,0.00,0.02,0.00,0.03
Montana,0.86,0.00,0.04,0.06,0.01,0.00,0.03
Nebraska,0.79,0.04,0.11,0.01,0.02,0.00,0.03
Nevada,0.49,0.09,0.29,0.01,0.08,0.01,0.04
New Hampshire,0.90,0.01,0.04,0.00,0.03,0.00,0.02
New Jersey,0.55,0.13,0.21,0.00,0.10,0.00,0.02
New Mexico,0.37,0.02,0.49,0.09,0.02,0.00,0.02
New York,0.55,0.14,0.19,0.00,0.09,0.00,0.03
North Carolina,0.63,0.21,0.10,0.01,0.03,0.00,0.03
North Dakota,0.84,0.03,0.04,0.05,0.02,0.00,0.02
Ohio,0.79,0.12,0.04,0.00,0.02,0.00,0.03
Oklahoma,0.65,0.07,0.11,0.08,0.02,0.00,0.07
Oregon,0.75,0.02,0.13,0.01,0.05,0.00,0.04
Pennsylvania,0.76,0.10,0.08,0.00,0.04,0.00,0.02
Rhode Island,0.72,0.06,0.16,0.00,0.03,0.00,0.03
South Carolina,0.64,0.26,0.06,0.00,0.02,0.00,0.02
South Dakota,0.82,0.02,0.04,0.09,0.01,0.00,0.03
Tennessee,0.74,0.17,0.05,0.00,0.02,0.00,0.02
Texas,0.41,0.12,0.40,0.00,0.05,0.00,0.02
Utah,0.78,0.01,0.14,0.01,0.02,0.01,0.03
Vermont,0.93,0.01,0.02,0.00,0.02,0.00,0.02
Virginia,0.62,0.19,0.10,0.00,0.07,0.00,0.04
Washington,0.68,0.04,0.13,0.01,0.09,0.01,0.05
West Virginia,0.92,0.04,0.01,0.00,0.01,0.00,0.02
Wisconsin,0.81,0.06,0.07,0.01,0.03,0.00,0.02
Wyoming,0.84,0.00,0.10,0.02,0.01,0.00,0.02
Puerto Rico,0.01,0.00,0.99,0.00,0.00,0.00,0.00
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,
