FIPS,State,Urban
01,Alabama,59.0
02,Alaska,66.0
04,Arizona,89.8
05,Arkansas,56.2
06,California,95.0
08,Colorado,86.2
09,Connecticut,88.0
10,Delaware,83.3
11,District of Columbia,100.0
12,Florida,91.2
13,Georgia,75.1
15,Hawaii,91.9
16,Idaho,70.6
17,Illinois,88.5
18,Indiana,72.4
19,Iowa,64.0
20,Kansas,74.2
21,Kentucky,58.4
22,Louisiana,73.2
23,Maine,38.7
24,Maryland,87.2
25,Massachusetts,92.0
26,Michigan,74.6
27,Minnesota,73.3
28,Mississippi,49.4
29,Missouri,70.4
30,Montana,55.9
31,Nebraska,73.1
32,Nevada,94.2
33,New Hampshire,60.3
34,New Jersey,94.7
35,New Mexico,77.4
36,New York,87.9
37,North Carolina,66.1
38,North Dakota,59.9
39,Ohio,77.9
40,Oklahoma,66.2
41,Oregon,81.0
42,Pennsylvania,78.7
44,Rhode Island,90.7
45,South Carolina,66.3
46,South Dakota,56.7
47,Tennessee,66.4
48,Texas,84.7
49,Utah,90.6
50,Vermont,38.9
51,Virginia,75.5
53,Washington,84.1
54,West Virginia,48.7
55,Wisconsin,70.2
56,Wyoming,64.8
,,
,,
,,
,,
,,
,,
,,
