"Date","Day","Country","Cases","Death","Population","Cases_Percent","Death_Percent","Beta"
2020-02-24,0,"afghanistan",1,0,37172386,0.00000003,0,0.001
2020-02-25,1,"afghanistan",1,0,37172386,0.00000003,0,0.001
2020-02-26,2,"afghanistan",1,0,37172386,0.00000003,0,0.483
2020-02-27,3,"afghanistan",1,0,37172386,0.00000003,0,0.261
2020-02-28,4,"afghanistan",1,0,37172386,0.00000003,0,0.187
2020-02-29,5,"afghanistan",1,0,37172386,0.00000003,0,0.149
2020-03-01,6,"afghanistan",1,0,37172386,0.00000003,0,0.127
2020-03-02,7,"afghanistan",1,0,37172386,0.00000003,0,0.113
2020-03-03,8,"afghanistan",1,0,37172386,0.00000003,0,0.101
2020-03-04,9,"afghanistan",1,0,37172386,0.00000003,0,0.095
2020-03-05,10,"afghanistan",1,0,37172386,0.00000003,0,0.089
2020-03-06,11,"afghanistan",1,0,37172386,0.00000003,0,0.083
2020-03-07,12,"afghanistan",1,0,37172386,0.00000003,0,0.079
2020-03-08,13,"afghanistan",4,0,37172386,0.00000011,0,0.335
2020-03-09,14,"afghanistan",4,0,37172386,0.00000011,0,0.303
2020-03-10,15,"afghanistan",5,0,37172386,0.00000013,0,0.313
2020-03-11,16,"afghanistan",7,0,37172386,0.00000019,0,0.365
2020-03-12,17,"afghanistan",7,0,37172386,0.00000019,0,0.337
2020-03-13,18,"afghanistan",7,0,37172386,0.00000019,0,0.313
2020-03-14,19,"afghanistan",11,0,37172386,0.0000003,0,0.371
2020-03-15,20,"afghanistan",16,0,37172386,0.00000043,0,0.409
2020-03-16,21,"afghanistan",21,0,37172386,0.00000056,0,0.427
2020-03-17,22,"afghanistan",22,0,37172386,0.00000059,0,0.409
2020-03-18,23,"afghanistan",22,0,37172386,0.00000059,0,0.385
2020-03-19,24,"afghanistan",22,0,37172386,0.00000059,0,0.363
2020-03-20,25,"afghanistan",24,0,37172386,0.00000065,0,0.357
2020-03-21,26,"afghanistan",24,0,37172386,0.00000065,0,0.339
2020-03-22,27,"afghanistan",40,1,37172386,0.00000108,0.00000003,0.385
2020-03-23,28,"afghanistan",40,1,37172386,0.00000108,0.00000003,0.367
2020-03-24,29,"afghanistan",74,1,37172386,0.00000199,0.00000003,0.425
2020-03-25,30,"afghanistan",84,2,37172386,0.00000226,0.00000005,0.419
2020-03-26,31,"afghanistan",94,4,37172386,0.00000253,0.00000011,0.415
2020-03-27,32,"afghanistan",110,4,37172386,0.00000296,0.00000011,0.415
2020-03-28,33,"afghanistan",110,4,37172386,0.00000296,0.00000011,0.397
2020-03-29,34,"afghanistan",120,4,37172386,0.00000323,0.00000011,0.391
2020-03-09,0,"albania",2,0,2866376,0.0000007,0,0.001
2020-03-10,1,"albania",10,0,2866376,0.00000349,0,0.001
2020-03-11,2,"albania",12,1,2866376,0.00000419,0.00000035,20
2020-03-12,3,"albania",23,1,2866376,0.00000802,0.00000035,20
