"Country","Date","Day","Cases","Death","Population","Cases_Percent","Death_Percent","Beta"
"Argentina",2020-03-07,0,0,0,44494502,0,0,NA
"Argentina",2020-03-08,1,12,1,44494502,0.00000027,0.00000002,0
"Argentina",2020-03-09,2,12,1,44494502,0.00000027,0.00000002,0
"Argentina",2020-03-10,3,17,1,44494502,0.00000038,0.00000002,3.075
"Argentina",2020-03-11,4,19,1,44494502,0.00000043,0.00000002,0.686
"Argentina",2020-03-12,5,19,1,44494502,0.00000043,0.00000002,0.026
"Argentina",2020-03-13,6,31,2,44494502,0.0000007,0.00000004,0.676
"Argentina",2020-03-14,7,34,2,44494502,0.00000076,0.00000004,0.476
"Argentina",2020-03-15,8,45,2,44494502,0.00000101,0.00000004,0.586
"Argentina",2020-03-16,9,56,2,44494502,0.00000126,0.00000004,0.607
"Argentina",2020-03-17,10,68,2,44494502,0.00000153,0.00000004,0.604
"Argentina",2020-03-18,11,79,2,44494502,0.00000178,0.00000004,0.576
"Argentina",2020-03-19,12,97,3,44494502,0.00000218,0.00000007,0.586
"Argentina",2020-03-20,13,128,3,44494502,0.00000288,0.00000007,0.634
"Argentina",2020-03-21,14,158,4,44494502,0.00000355,0.00000009,0.641
"Argentina",2020-03-22,15,266,4,44494502,0.00000598,0.00000009,0.79
"Argentina",2020-03-23,16,301,4,44494502,0.00000676,0.00000009,0.747
"Argentina",2020-03-24,17,387,6,44494502,0.0000087,0.00000013,0.762
"Argentina",2020-03-25,18,387,8,44494502,0.0000087,0.00000018,0.684
"Argentina",2020-03-26,19,502,9,44494502,0.00001128,0.0000002,0.703
"Argentina",2020-03-27,20,589,13,44494502,0.00001324,0.00000029,0.689
"Argentina",2020-03-28,21,690,18,44494502,0.00001551,0.0000004,0.677
"Argentina",2020-03-29,22,745,19,44494502,0.00001674,0.00000043,0.645
"Argentina",2020-03-30,23,820,23,44494502,0.00001843,0.00000052,0.621
"Argentina",2020-03-31,24,1054,27,44494502,0.00002369,0.00000061,0.636
"Argentina",2020-04-01,25,1054,28,44494502,0.00002369,0.00000063,0.595
"Argentina",2020-04-02,26,1133,36,44494502,0.00002546,0.00000081,0.573
"Argentina",2020-04-03,27,1265,39,44494502,0.00002843,0.00000088,0.561
"Argentina",2020-04-04,28,1451,43,44494502,0.00003261,0.00000097,0.554
"Argentina",2020-04-05,29,1451,44,44494502,0.00003261,0.00000099,0.525
"Australia",2020-02-29,0,0,0,24992369,0,0,NA
"Australia",2020-03-01,1,27,1,24992369,0.00000108,0.00000004,0
"Australia",2020-03-02,2,30,1,24992369,0.0000012,0.00000004,0
"Australia",2020-03-03,3,39,1,24992369,0.00000156,0.00000004,3.475
"Australia",2020-03-04,4,52,2,24992369,0.00000208,0.00000008,1.754
"Australia",2020-03-05,5,55,2,24992369,0.0000022,0.00000008,0.662
"Australia",2020-03-06,6,60,2,24992369,0.0000024,0.00000008,0.392
"Australia",2020-03-07,7,63,2,24992369,0.00000252,0.00000008,0.243
"Australia",2020-03-08,8,76,3,24992369,0.00000304,0.00000012,0.299
"Australia",2020-03-09,9,91,3,24992369,0.00000364,0.00000012,0.335
"Australia",2020-03-10,10,107,3,24992369,0.00000428,0.00000012,0.351
"Australia",2020-03-11,11,128,3,24992369,0.00000512,0.00000012,0.375
"Australia",2020-03-12,12,128,3,24992369,0.00000512,0.00000012,0.307
"Australia",2020-03-13,13,200,3,24992369,0.000008,0.00000012,0.452
"Australia",2020-03-14,14,250,3,24992369,0.00001,0.00000012,0.482
"Australia",2020-03-15,15,297,3,24992369,0.00001188,0.00000012,0.487
"Australia",2020-03-16,16,377,3,24992369,0.00001508,0.00000012,0.515
"Australia",2020-03-17,17,452,5,24992369,0.00001809,0.0000002,0.521
"Australia",2020-03-18,18,568,6,24992369,0.00002273,0.00000024,0.541
"Australia",2020-03-19,19,681,6,24992369,0.00002725,0.00000024,0.545
"Australia",2020-03-20,20,791,7,24992369,0.00003165,0.00000028,0.539
"Australia",2020-03-21,21,1071,7,24992369,0.00004285,0.00000028,0.575
"Australia",2020-03-22,22,1549,7,24992369,0.00006198,0.00000028,0.624
"Australia",2020-03-23,23,1682,7,24992369,0.0000673,0.00000028,0.599
"Australia",2020-03-24,24,2044,8,24992369,0.00008178,0.00000032,0.602
"Australia",2020-03-25,25,2364,8,24992369,0.00009459,0.00000032,0.594
"Australia",2020-03-26,26,2810,13,24992369,0.00011243,0.00000052,0.593
"Australia",2020-03-27,27,3143,13,24992369,0.00012576,0.00000052,0.58
"Australia",2020-03-28,28,3640,14,24992369,0.00014564,0.00000056,0.575
"Australia",2020-03-29,29,3984,16,24992369,0.00015941,0.00000064,0.56
"Australia",2020-03-30,30,4361,17,24992369,0.00017449,0.00000068,0.547
"Australia",2020-03-31,31,4559,18,24992369,0.00018242,0.00000072,0.527
