"Date","Day","County_state","Cases","Death","Population","Cases_Percent","Death_Percent"
2020-03-24,0,"Autauga_Alabama",1,0,55869,0.0000179,0
2020-03-25,1,"Autauga_Alabama",4,0,55869,0.0000716,0
2020-03-26,2,"Autauga_Alabama",6,0,55869,0.00010739,0
2020-03-27,3,"Autauga_Alabama",6,0,55869,0.00010739,0
2020-03-28,4,"Autauga_Alabama",6,0,55869,0.00010739,0
2020-03-29,5,"Autauga_Alabama",6,0,55869,0.00010739,0
2020-03-14,0,"Baldwin_Alabama",1,0,223234,0.00000448,0
2020-03-15,1,"Baldwin_Alabama",1,0,223234,0.00000448,0
2020-03-16,2,"Baldwin_Alabama",1,0,223234,0.00000448,0
2020-03-17,3,"Baldwin_Alabama",1,0,223234,0.00000448,0
2020-03-18,4,"Baldwin_Alabama",1,0,223234,0.00000448,0
2020-03-19,5,"Baldwin_Alabama",1,0,223234,0.00000448,0
2020-03-20,6,"Baldwin_Alabama",2,0,223234,0.00000896,0
2020-03-21,7,"Baldwin_Alabama",2,0,223234,0.00000896,0
2020-03-22,8,"Baldwin_Alabama",2,0,223234,0.00000896,0
2020-03-23,9,"Baldwin_Alabama",3,0,223234,0.00001344,0
2020-03-24,10,"Baldwin_Alabama",4,0,223234,0.00001792,0
2020-03-25,11,"Baldwin_Alabama",4,0,223234,0.00001792,0
2020-03-26,12,"Baldwin_Alabama",5,0,223234,0.0000224,0
2020-03-27,13,"Baldwin_Alabama",5,0,223234,0.0000224,0
2020-03-28,14,"Baldwin_Alabama",10,0,223234,0.0000448,0
2020-03-29,15,"Baldwin_Alabama",15,0,223234,0.00006719,0
2020-03-25,0,"Blount_Alabama",1,0,57826,0.00001729,0
2020-03-26,1,"Blount_Alabama",3,0,57826,0.00005188,0
2020-03-27,2,"Blount_Alabama",5,0,57826,0.00008647,0
2020-03-28,3,"Blount_Alabama",5,0,57826,0.00008647,0
2020-03-29,4,"Blount_Alabama",5,0,57826,0.00008647,0
2020-03-26,0,"Bullock_Alabama",2,0,10101,0.000198,0
2020-03-27,1,"Bullock_Alabama",2,0,10101,0.000198,0
2020-03-28,2,"Bullock_Alabama",3,0,10101,0.000297,0
2020-03-29,3,"Bullock_Alabama",3,0,10101,0.000297,0
2020-03-25,0,"Butler_Alabama",1,0,19448,0.00005142,0
2020-03-26,1,"Butler_Alabama",1,0,19448,0.00005142,0
2020-03-27,2,"Butler_Alabama",1,0,19448,0.00005142,0
2020-03-28,3,"Butler_Alabama",1,0,19448,0.00005142,0
2020-03-29,4,"Butler_Alabama",1,0,19448,0.00005142,0
2020-03-18,0,"Calhoun_Alabama",1,0,113605,0.0000088,0
2020-03-19,1,"Calhoun_Alabama",1,0,113605,0.0000088,0
2020-03-20,2,"Calhoun_Alabama",1,0,113605,0.0000088,0
2020-03-21,3,"Calhoun_Alabama",1,0,113605,0.0000088,0
2020-03-22,4,"Calhoun_Alabama",1,0,113605,0.0000088,0
2020-03-23,5,"Calhoun_Alabama",2,0,113605,0.0000176,0
2020-03-24,6,"Calhoun_Alabama",2,0,113605,0.0000176,0
2020-03-25,7,"Calhoun_Alabama",2,0,113605,0.0000176,0
2020-03-26,8,"Calhoun_Alabama",2,0,113605,0.0000176,0
2020-03-27,9,"Calhoun_Alabama",3,0,113605,0.00002641,0
2020-03-28,10,"Calhoun_Alabama",3,0,113605,0.00002641,0
2020-03-29,11,"Calhoun_Alabama",3,0,113605,0.00002641,0
2020-03-19,0,"Chambers_Alabama",1,0,33254,0.00003007,0
2020-03-20,1,"Chambers_Alabama",1,0,33254,0.00003007,0
2020-03-21,2,"Chambers_Alabama",1,0,33254,0.00003007,0
2020-03-22,3,"Chambers_Alabama",2,0,33254,0.00006014,0
2020-03-23,4,"Chambers_Alabama",2,0,33254,0.00006014,0
2020-03-24,5,"Chambers_Alabama",5,0,33254,0.00015036,0
2020-03-25,6,"Chambers_Alabama",10,0,33254,0.00030072,0
2020-03-26,7,"Chambers_Alabama",13,0,33254,0.00039093,0
