"Date","Day","State","Cases","Death","Population","Cases_Percent","Death_Percent","Beta"
2020-03-12,0,"Alabama",0,0,4903185,0,0,0.001
2020-03-13,1,"Alabama",6,0,4903185,0.00000122,0,0.001
2020-03-14,2,"Alabama",12,0,4903185,0.00000245,0,0.001
2020-03-15,3,"Alabama",23,0,4903185,0.00000469,0,20
2020-03-16,4,"Alabama",29,0,4903185,0.00000591,0,11
2020-03-17,5,"Alabama",39,0,4903185,0.00000795,0,6
2020-03-18,6,"Alabama",51,0,4903185,0.0000104,0,4.25
2020-03-19,7,"Alabama",78,0,4903185,0.00001591,0,3.8
2020-03-20,8,"Alabama",106,0,4903185,0.00002162,0,3.2
2020-03-21,9,"Alabama",131,0,4903185,0.00002672,0,2.65
2020-03-22,10,"Alabama",157,0,4903185,0.00003202,0,2.25
2020-03-23,11,"Alabama",196,0,4903185,0.00003997,0,2
2020-03-24,12,"Alabama",242,0,4903185,0.00004936,0,1.825
2020-03-25,13,"Alabama",386,1,4903185,0.00007872,0.0000002,1.925
2020-03-26,14,"Alabama",538,3,4903185,0.00010972,0.00000061,1.875
2020-03-27,15,"Alabama",639,4,4903185,0.00013032,0.00000082,1.725
2020-03-28,16,"Alabama",720,4,4903185,0.00014684,0.00000082,1.575
2020-03-29,17,"Alabama",830,5,4903185,0.00016928,0.00000102,1.45
2020-03-11,0,"Alaska",0,0,731545,0,0,0.001
2020-03-12,1,"Alaska",1,0,731545,0.00000137,0,0.001
2020-03-13,2,"Alaska",1,0,731545,0.00000137,0,0.001
2020-03-14,3,"Alaska",1,0,731545,0.00000137,0,0.001
2020-03-15,4,"Alaska",1,0,731545,0.00000137,0,0.001
2020-03-16,5,"Alaska",3,0,731545,0.0000041,0,1.975
2020-03-17,6,"Alaska",6,0,731545,0.0000082,0,2.9
2020-03-18,7,"Alaska",9,0,731545,0.0000123,0,2.7
2020-03-19,8,"Alaska",12,0,731545,0.0000164,0,2.35
2020-03-20,9,"Alaska",14,0,731545,0.00001914,0,1.925
2020-03-21,10,"Alaska",21,0,731545,0.00002871,0,1.95
2020-03-22,11,"Alaska",22,0,731545,0.00003007,0,1.575
2020-03-23,12,"Alaska",36,0,731545,0.00004921,0,1.725
2020-03-24,13,"Alaska",42,0,731545,0.00005741,0,1.55
2020-03-25,14,"Alaska",59,0,731545,0.00008065,0,1.55
2020-03-26,15,"Alaska",69,0,731545,0.00009432,0,1.425
2020-03-27,16,"Alaska",85,1,731545,0.00011619,0.00000137,1.35
2020-03-28,17,"Alaska",102,1,731545,0.00013943,0.00000137,1.3
2020-03-29,18,"Alaska",114,1,731545,0.00015583,0.00000137,1.2
2020-01-25,0,"Arizona",0,0,7278717,0,0,0.001
2020-01-26,1,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-01-27,2,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-01-28,3,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-01-29,4,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-01-30,5,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-01-31,6,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-01,7,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-02,8,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-03,9,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-04,10,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-05,11,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-06,12,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-07,13,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-08,14,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-09,15,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-10,16,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-11,17,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-12,18,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-13,19,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-14,20,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-15,21,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-16,22,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-17,23,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-18,24,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-19,25,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-20,26,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-21,27,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-22,28,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-23,29,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-24,30,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-25,31,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-26,32,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-27,33,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-28,34,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-02-29,35,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-03-01,36,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-03-02,37,"Arizona",1,0,7278717,0.00000014,0,0.001
2020-03-03,38,"Arizona",2,0,7278717,0.00000027,0,0.001
2020-03-04,39,"Arizona",2,0,7278717,0.00000027,0,0.001
2020-03-05,40,"Arizona",2,0,7278717,0.00000027,0,0.001
2020-03-06,41,"Arizona",3,0,7278717,0.00000041,0,0.021
2020-03-07,42,"Arizona",5,0,7278717,0.00000069,0,0.065
2020-03-08,43,"Arizona",5,0,7278717,0.00000069,0,0.065
2020-03-09,44,"Arizona",6,0,7278717,0.00000082,0,0.077
2020-03-10,45,"Arizona",6,0,7278717,0.00000082,0,0.077
2020-03-11,46,"Arizona",9,0,7278717,0.00000124,0,0.105
2020-03-12,47,"Arizona",9,0,7278717,0.00000124,0,0.103
2020-03-13,48,"Arizona",9,0,7278717,0.00000124,0,0.101
2020-03-14,49,"Arizona",12,0,7278717,0.00000165,0,0.119
2020-03-15,50,"Arizona",13,0,7278717,0.00000179,0,0.123
2020-03-16,51,"Arizona",18,0,7278717,0.00000247,0,0.141
2020-03-17,52,"Arizona",20,0,7278717,0.00000275,0,0.145
2020-03-18,53,"Arizona",28,0,7278717,0.00000385,0,0.161
2020-03-19,54,"Arizona",47,0,7278717,0.00000646,0,0.189
2020-03-20,55,"Arizona",70,1,7278717,0.00000962,0.00000014,0.207
2020-03-21,56,"Arizona",104,1,7278717,0.00001429,0.00000014,0.227
2020-03-22,57,"Arizona",153,2,7278717,0.00002102,0.00000027,0.243
2020-03-23,58,"Arizona",234,2,7278717,0.00003215,0.00000027,0.263
2020-03-24,59,"Arizona",326,6,7278717,0.00004479,0.00000082,0.277
2020-03-25,60,"Arizona",402,6,7278717,0.00005523,0.00000082,0.283
2020-03-26,61,"Arizona",508,8,7278717,0.00006979,0.0000011,0.291
2020-03-27,62,"Arizona",665,15,7278717,0.00009136,0.00000206,0.301
2020-03-28,63,"Arizona",773,15,7278717,0.0001062,0.00000206,0.303
2020-03-29,64,"Arizona",929,18,7278717,0.00012763,0.00000247,0.309
2020-03-10,0,"Arkansas",0,0,3017804,0,0,0.001
2020-03-11,1,"Arkansas",1,0,3017804,0.00000033,0,0.001
2020-03-12,2,"Arkansas",6,0,3017804,0.00000199,0,0.001
2020-03-13,3,"Arkansas",7,0,3017804,0.00000232,0,20
2020-03-14,4,"Arkansas",9,0,3017804,0.00000298,0,20
2020-03-15,5,"Arkansas",16,0,3017804,0.0000053,0,15.5
2020-03-16,6,"Arkansas",22,0,3017804,0.00000729,0,10
2020-03-17,7,"Arkansas",22,0,3017804,0.00000729,0,5.5
2020-03-18,8,"Arkansas",33,0,3017804,0.00001094,0,4.95
2020-03-19,9,"Arkansas",62,0,3017804,0.00002054,0,5
2020-03-20,10,"Arkansas",100,0,3017804,0.00003314,0,4.7
2020-03-21,11,"Arkansas",118,0,3017804,0.0000391,0,3.9
2020-03-22,12,"Arkansas",165,0,3017804,0.00005468,0,3.55
2020-03-23,13,"Arkansas",201,0,3017804,0.0000666,0,3.15
2020-03-24,14,"Arkansas",232,2,3017804,0.00007688,0.00000066,2.75
2020-03-25,15,"Arkansas",308,2,3017804,0.00010206,0.00000066,2.6
2020-03-26,16,"Arkansas",351,3,3017804,0.00011631,0.00000099,2.35
2020-03-27,17,"Arkansas",386,3,3017804,0.00012791,0.00000099,2.1
2020-03-28,18,"Arkansas",409,5,3017804,0.00013553,0.00000166,1.875
2020-03-29,19,"Arkansas",449,6,3017804,0.00014878,0.00000199,1.725
2020-01-24,0,"California",0,0,39512223,0,0,0.001
2020-01-25,1,"California",1,0,39512223,0.00000003,0,0.001
2020-01-26,2,"California",2,0,39512223,0.00000005,0,0.001
2020-01-27,3,"California",2,0,39512223,0.00000005,0,6
2020-01-28,4,"California",2,0,39512223,0.00000005,0,0.923
2020-01-29,5,"California",2,0,39512223,0.00000005,0,0.133
2020-01-30,6,"California",2,0,39512223,0.00000005,0,0.001
2020-01-31,7,"California",3,0,39512223,0.00000008,0,0.405
2020-02-01,8,"California",3,0,39512223,0.00000008,0,0.249
2020-02-02,9,"California",6,0,39512223,0.00000015,0,0.671
2020-02-03,10,"California",6,0,39512223,0.00000015,0,0.511
2020-02-04,11,"California",6,0,39512223,0.00000015,0,0.405
2020-02-05,12,"California",6,0,39512223,0.00000015,0,0.333
2020-02-06,13,"California",6,0,39512223,0.00000015,0,0.281
2020-02-07,14,"California",6,0,39512223,0.00000015,0,0.241
2020-02-08,15,"California",6,0,39512223,0.00000015,0,0.211
2020-02-09,16,"California",6,0,39512223,0.00000015,0,0.189
2020-02-10,17,"California",7,0,39512223,0.00000018,0,0.217
2020-02-11,18,"California",7,0,39512223,0.00000018,0,0.197
2020-02-12,19,"California",7,0,39512223,0.00000018,0,0.181
2020-02-13,20,"California",7,0,39512223,0.00000018,0,0.167
2020-02-14,21,"California",7,0,39512223,0.00000018,0,0.157
2020-02-15,22,"California",7,0,39512223,0.00000018,0,0.147
2020-02-16,23,"California",7,0,39512223,0.00000018,0,0.139
2020-02-17,24,"California",7,0,39512223,0.00000018,0,0.133
2020-02-18,25,"California",7,0,39512223,0.00000018,0,0.125
2020-02-19,26,"California",7,0,39512223,0.00000018,0,0.121
2020-02-20,27,"California",8,0,39512223,0.0000002,0,0.129
2020-02-21,28,"California",9,0,39512223,0.00000023,0,0.141
2020-02-22,29,"California",9,0,39512223,0.00000023,0,0.137
2020-02-23,30,"California",9,0,39512223,0.00000023,0,0.131
2020-02-24,31,"California",11,0,39512223,0.00000028,0,0.149
2020-02-25,32,"California",11,0,39512223,0.00000028,0,0.145
2020-02-26,33,"California",26,0,39512223,0.00000066,0,0.231
2020-02-27,34,"California",26,0,39512223,0.00000066,0,0.223
2020-02-28,35,"California",27,0,39512223,0.00000068,0,0.219
2020-02-29,36,"California",28,0,39512223,0.00000071,0,0.217
2020-03-01,37,"California",33,0,39512223,0.00000084,0,0.225
2020-03-02,38,"California",38,0,39512223,0.00000096,0,0.231
2020-03-03,39,"California",45,0,39512223,0.00000114,0,0.241
2020-03-04,40,"California",55,1,39512223,0.00000139,0.00000003,0.251
2020-03-05,41,"California",67,1,39512223,0.0000017,0.00000003,0.261
2020-03-06,42,"California",81,1,39512223,0.00000205,0.00000003,0.271
2020-03-07,43,"California",100,1,39512223,0.00000253,0.00000003,0.281
2020-03-08,44,"California",112,1,39512223,0.00000283,0.00000003,0.283
2020-03-09,45,"California",172,2,39512223,0.00000435,0.00000005,0.309
2020-03-10,46,"California",179,3,39512223,0.00000453,0.00000008,0.305
2020-03-11,47,"California",202,4,39512223,0.00000511,0.0000001,0.307
2020-03-12,48,"California",252,4,39512223,0.00000638,0.0000001,0.317
2020-03-13,49,"California",320,5,39512223,0.0000081,0.00000013,0.327
2020-03-14,50,"California",381,5,39512223,0.00000964,0.00000013,0.331
2020-03-15,51,"California",478,6,39512223,0.0000121,0.00000015,0.339
2020-03-16,52,"California",588,11,39512223,0.00001488,0.00000028,0.347
2020-03-17,53,"California",732,14,39512223,0.00001853,0.00000035,0.355
2020-03-18,54,"California",893,17,39512223,0.0000226,0.00000043,0.361
2020-03-19,55,"California",1067,19,39512223,0.000027,0.00000048,0.365
2020-03-20,56,"California",1283,24,39512223,0.00003247,0.00000061,0.369
2020-03-21,57,"California",1544,28,39512223,0.00003908,0.00000071,0.373
2020-03-22,58,"California",1851,35,39512223,0.00004685,0.00000089,0.377
2020-03-23,59,"California",2240,39,39512223,0.00005669,0.00000099,0.381
2020-03-24,60,"California",2644,52,39512223,0.00006692,0.00000132,0.385
2020-03-25,61,"California",3183,67,39512223,0.00008056,0.0000017,0.389
2020-03-26,62,"California",4060,82,39512223,0.00010275,0.00000208,0.395
2020-03-27,63,"California",4914,102,39512223,0.00012437,0.00000258,0.399
2020-03-28,64,"California",5565,121,39512223,0.00014084,0.00000306,0.399
2020-03-29,65,"California",6266,130,39512223,0.00015858,0.00000329,0.399
2020-03-04,0,"Colorado",0,0,5758736,0,0,0.001
2020-03-05,1,"Colorado",2,0,5758736,0.00000035,0,0.001
2020-03-06,2,"Colorado",8,0,5758736,0.00000139,0,0.001
2020-03-07,3,"Colorado",8,0,5758736,0.00000139,0,20
2020-03-08,4,"Colorado",8,0,5758736,0.00000139,0,8.5
2020-03-09,5,"Colorado",12,0,5758736,0.00000208,0,5.5
2020-03-10,6,"Colorado",17,0,5758736,0.00000295,0,4.2
2020-03-11,7,"Colorado",34,0,5758736,0.0000059,0,4.65
2020-03-12,8,"Colorado",49,1,5758736,0.00000851,0.00000017,4
2020-03-13,9,"Colorado",78,2,5758736,0.00001354,0.00000035,3.8
2020-03-14,10,"Colorado",103,2,5758736,0.00001789,0.00000035,3.35
2020-03-15,11,"Colorado",136,2,5758736,0.00002362,0.00000035,3
2020-03-16,12,"Colorado",161,2,5758736,0.00002796,0.00000035,2.6
2020-03-17,13,"Colorado",183,3,5758736,0.00003178,0.00000052,2.25
2020-03-18,14,"Colorado",216,3,5758736,0.00003751,0.00000052,2
2020-03-19,15,"Colorado",278,5,5758736,0.00004827,0.00000087,1.925
2020-03-20,16,"Colorado",364,5,5758736,0.00006321,0.00000087,1.825
2020-03-21,17,"Colorado",475,6,5758736,0.00008248,0.00000104,1.775
2020-03-22,18,"Colorado",591,7,5758736,0.00010263,0.00000122,1.675
2020-03-23,19,"Colorado",721,10,5758736,0.0001252,0.00000174,1.6
2020-03-24,20,"Colorado",912,11,5758736,0.00015837,0.00000191,1.55
2020-03-25,21,"Colorado",1086,19,5758736,0.00018858,0.0000033,1.475
2020-03-26,22,"Colorado",1432,24,5758736,0.00024867,0.00000417,1.45
2020-03-27,23,"Colorado",1735,31,5758736,0.00030128,0.00000538,1.4
2020-03-28,24,"Colorado",2061,44,5758736,0.00035789,0.00000764,1.35
2020-03-29,25,"Colorado",2315,47,5758736,0.000402,0.00000816,1.3
2020-03-07,0,"Connecticut",0,0,3565287,0,0,0.001
2020-03-08,1,"Connecticut",1,0,3565287,0.00000028,0,0.001
2020-03-09,2,"Connecticut",2,0,3565287,0.00000056,0,0.001
2020-03-10,3,"Connecticut",2,0,3565287,0.00000056,0,9.5
2020-03-11,4,"Connecticut",3,0,3565287,0.00000084,0,5
2020-03-12,5,"Connecticut",6,0,3565287,0.00000168,0,5.5
2020-03-13,6,"Connecticut",11,0,3565287,0.00000309,0,5.5
2020-03-14,7,"Connecticut",20,0,3565287,0.00000561,0,5.5
2020-03-15,8,"Connecticut",26,0,3565287,0.00000729,0,4.2
2020-03-16,9,"Connecticut",41,0,3565287,0.0000115,0,3.95
2020-03-17,10,"Connecticut",68,0,3565287,0.00001907,0,3.85
2020-03-18,11,"Connecticut",96,1,3565287,0.00002693,0.00000028,3.55
2020-03-19,12,"Connecticut",159,4,3565287,0.0000446,0.00000112,3.5
2020-03-20,13,"Connecticut",194,4,3565287,0.00005441,0.00000112,3.1
2020-03-21,14,"Connecticut",223,5,3565287,0.00006255,0.0000014,2.7
2020-03-22,15,"Connecticut",327,8,3565287,0.00009172,0.00000224,2.65
2020-03-23,16,"Connecticut",415,10,3565287,0.0001164,0.0000028,2.45
2020-03-24,17,"Connecticut",618,12,3565287,0.00017334,0.00000337,2.45
2020-03-25,18,"Connecticut",875,19,3565287,0.00024542,0.00000533,2.4
2020-03-26,19,"Connecticut",1012,21,3565287,0.00028385,0.00000589,2.2
2020-03-27,20,"Connecticut",1291,27,3565287,0.0003621,0.00000757,2.1
2020-03-28,21,"Connecticut",1524,33,3565287,0.00042746,0.00000926,1.975
2020-03-29,22,"Connecticut",1993,34,3565287,0.000559,0.00000954,1.925
2020-03-10,0,"Delaware",0,0,973764,0,0,0.001
2020-03-11,1,"Delaware",1,0,973764,0.00000103,0,0.001
2020-03-12,2,"Delaware",4,0,973764,0.00000411,0,0.001
2020-03-13,3,"Delaware",4,0,973764,0.00000411,0,20
2020-03-14,4,"Delaware",4,0,973764,0.00000411,0,8.5
2020-03-15,5,"Delaware",7,0,973764,0.00000719,0,6.5
2020-03-16,6,"Delaware",8,0,973764,0.00000822,0,4
2020-03-17,7,"Delaware",16,0,973764,0.00001643,0,4.45
2020-03-18,8,"Delaware",26,0,973764,0.0000267,0,4.2
2020-03-19,9,"Delaware",30,0,973764,0.00003081,0,3.25
2020-03-20,10,"Delaware",39,0,973764,0.00004005,0,2.85
2020-03-21,11,"Delaware",45,0,973764,0.00004621,0,2.4
2020-03-22,12,"Delaware",56,0,973764,0.00005751,0,2.15
2020-03-23,13,"Delaware",87,0,973764,0.00008934,0,2.2
2020-03-24,14,"Delaware",104,0,973764,0.0001068,0,2
2020-03-25,15,"Delaware",119,0,973764,0.00012221,0,1.8
2020-03-26,16,"Delaware",143,1,973764,0.00014685,0.00000103,1.675
2020-03-27,17,"Delaware",165,2,973764,0.00016945,0.00000205,1.55
2020-03-28,18,"Delaware",214,5,973764,0.00021977,0.00000513,1.5
2020-03-29,19,"Delaware",232,6,973764,0.00023825,0.00000616,1.4
2020-03-06,0,"District of Columbia",0,0,705749,0,0,0.001
2020-03-07,1,"District of Columbia",1,0,705749,0.00000142,0,0.001
2020-03-08,2,"District of Columbia",1,0,705749,0.00000142,0,0.001
2020-03-09,3,"District of Columbia",4,0,705749,0.00000567,0,20
2020-03-10,4,"District of Columbia",4,0,705749,0.00000567,0,8.5
2020-03-11,5,"District of Columbia",10,0,705749,0.00001417,0,10
2020-03-12,6,"District of Columbia",10,0,705749,0.00001417,0,5
2020-03-13,7,"District of Columbia",10,0,705749,0.00001417,0,3
2020-03-14,8,"District of Columbia",16,0,705749,0.00002267,0,2.95
2020-03-15,9,"District of Columbia",17,0,705749,0.00002409,0,2.2
2020-03-16,10,"District of Columbia",22,0,705749,0.00003117,0,2
2020-03-17,11,"District of Columbia",31,0,705749,0.00004392,0,1.95
2020-03-18,12,"District of Columbia",36,0,705749,0.00005101,0,1.725
2020-03-19,13,"District of Columbia",68,0,705749,0.00009635,0,1.975
2020-03-20,14,"District of Columbia",77,1,705749,0.0001091,0.00000142,1.75
2020-03-21,15,"District of Columbia",98,1,705749,0.00013886,0.00000142,1.65
2020-03-22,16,"District of Columbia",116,2,705749,0.00016436,0.00000283,1.55
2020-03-23,17,"District of Columbia",138,2,705749,0.00019554,0.00000283,1.45
2020-03-24,18,"District of Columbia",183,2,705749,0.0002593,0.00000283,1.425
2020-03-25,19,"District of Columbia",231,3,705749,0.00032731,0.00000425,1.375
2020-03-26,20,"District of Columbia",267,3,705749,0.00037832,0.00000425,1.3
2020-03-27,21,"District of Columbia",304,4,705749,0.00043075,0.00000567,1.25
2020-03-28,22,"District of Columbia",342,4,705749,0.00048459,0.00000567,1.175
2020-03-29,23,"District of Columbia",342,4,705749,0.00048459,0.00000567,1.075
2020-02-29,0,"Florida",0,0,21477737,0,0,0.001
2020-03-01,1,"Florida",2,0,21477737,0.00000009,0,0.001
2020-03-02,2,"Florida",2,0,21477737,0.00000009,0,0.001
2020-03-03,3,"Florida",3,0,21477737,0.00000014,0,4.75
2020-03-04,4,"Florida",3,0,21477737,0.00000014,0,0.567
2020-03-05,5,"Florida",4,0,21477737,0.00000019,0,0.767
2020-03-06,6,"Florida",7,2,21477737,0.00000033,0.00000009,1.45
2020-03-07,7,"Florida",12,2,21477737,0.00000056,0.00000009,1.825
2020-03-08,8,"Florida",13,2,21477737,0.00000061,0.00000009,1.35
2020-03-09,9,"Florida",14,2,21477737,0.00000065,0.00000009,1.05
2020-03-10,10,"Florida",23,2,21477737,0.00000107,0.00000009,1.275
2020-03-11,11,"Florida",26,2,21477737,0.00000121,0.00000009,1.125
2020-03-12,12,"Florida",46,2,21477737,0.00000214,0.00000009,1.35
2020-03-13,13,"Florida",70,2,21477737,0.00000326,0.00000009,1.425
2020-03-14,14,"Florida",70,3,21477737,0.00000326,0.00000014,1.2
2020-03-15,15,"Florida",109,3,21477737,0.00000508,0.00000014,1.3
2020-03-16,16,"Florida",141,4,21477737,0.00000656,0.00000019,1.275
2020-03-17,17,"Florida",210,6,21477737,0.00000978,0.00000028,1.325
2020-03-18,18,"Florida",326,7,21477737,0.00001518,0.00000033,1.4
2020-03-19,19,"Florida",434,8,21477737,0.00002021,0.00000037,1.375
2020-03-20,20,"Florida",564,9,21477737,0.00002626,0.00000042,1.35
2020-03-21,21,"Florida",764,11,21477737,0.00003557,0.00000051,1.35
2020-03-22,22,"Florida",1000,13,21477737,0.00004656,0.00000061,1.325
2020-03-23,23,"Florida",1222,18,21477737,0.0000569,0.00000084,1.3
2020-03-24,24,"Florida",1467,19,21477737,0.0000683,0.00000088,1.25
