"State","Date","Day","Cases","Death","Population","Cases_Percent","Death_Percent","Beta"
"Alabama",2020-03-24,0,0,0,4903185,0,0,NA
"Alabama",2020-03-25,1,381,1,4903185,0.0000777,0.0000002,0
"Alabama",2020-03-26,2,517,1,4903185,0.00010544,0.0000002,0
"Alabama",2020-03-27,3,587,4,4903185,0.00011972,0.00000082,4.575
"Alabama",2020-03-28,4,694,4,4903185,0.00014154,0.00000082,1.42
"Alabama",2020-03-29,5,825,10,4903185,0.00016826,0.00000204,0.842
"Alabama",2020-03-30,6,899,10,4903185,0.00018335,0.00000204,0.499
"Alabama",2020-03-31,7,987,23,4903185,0.0002013,0.00000469,0.37
"Alabama",2020-04-01,8,1060,27,4903185,0.00021619,0.00000551,0.288
"Alabama",2020-04-02,9,1233,32,4903185,0.00025147,0.00000653,0.304
"Alabama",2020-04-03,10,1495,38,4903185,0.0003049,0.00000775,0.345
"Alabama",2020-04-04,11,1614,44,4903185,0.00032917,0.00000897,0.313
"Alabama",2020-04-05,12,1765,45,4903185,0.00035997,0.00000918,0.297
"Alaska",2020-03-24,0,0,0,731545,0,0,NA
"Alaska",2020-03-25,1,41,1,731545,0.00005605,0.00000137,0
"Alaska",2020-03-26,2,56,1,731545,0.00007655,0.00000137,0
"Alaska",2020-03-27,3,58,1,731545,0.00007928,0.00000137,3.15
"Alaska",2020-03-28,4,85,2,731545,0.00011619,0.00000273,2.225
"Alaska",2020-03-29,5,102,2,731545,0.00013943,0.00000273,1.288
"Alaska",2020-03-30,6,114,3,731545,0.00015583,0.0000041,0.815
"Alaska",2020-03-31,7,119,3,731545,0.00016267,0.0000041,0.517
"Alaska",2020-04-01,8,132,3,731545,0.00018044,0.0000041,0.429
"Alaska",2020-04-02,9,143,3,731545,0.00019548,0.0000041,0.361
"Alaska",2020-04-03,10,157,3,731545,0.00021461,0.0000041,0.329
"Alaska",2020-04-04,11,171,5,731545,0.00023375,0.00000683,0.304
"Alaska",2020-04-05,12,185,6,731545,0.00025289,0.0000082,0.284
"Arizona",2020-03-20,0,0,0,7278717,0,0,NA
"Arizona",2020-03-21,1,104,1,7278717,0.00001429,0.00000014,0
"Arizona",2020-03-22,2,152,2,7278717,0.00002088,0.00000027,0
"Arizona",2020-03-23,3,235,2,7278717,0.00003229,0.00000027,12.5
"Arizona",2020-03-24,4,326,5,7278717,0.00004479,0.00000069,5.5
"Arizona",2020-03-25,5,401,6,7278717,0.00005509,0.00000082,3.075
"Arizona",2020-03-26,6,508,8,7278717,0.00006979,0.0000011,2.225
"Arizona",2020-03-27,7,665,13,7278717,0.00009136,0.00000179,1.89
"Arizona",2020-03-28,8,773,15,7278717,0.0001062,0.00000206,1.499
"Arizona",2020-03-29,9,919,17,7278717,0.00012626,0.00000234,1.288
"Arizona",2020-03-30,10,1157,20,7278717,0.00015896,0.00000275,1.206
"Arizona",2020-03-31,11,1289,24,7278717,0.00017709,0.0000033,1.044
"Arizona",2020-04-01,12,1530,29,7278717,0.0002102,0.00000398,0.972
"Arizona",2020-04-02,13,1715,32,7278717,0.00023562,0.0000044,0.882
"Arizona",2020-04-03,14,1937,41,7278717,0.00026612,0.00000563,0.817
"Arizona",2020-04-04,15,2187,52,7278717,0.00030047,0.00000714,0.766
"Arizona",2020-04-05,16,2486,64,7278717,0.00034154,0.00000879,0.727
"Arkansas",2020-03-23,0,0,0,3017804,0,0,NA
"Arkansas",2020-03-24,1,219,2,3017804,0.00007257,0.00000066,0
"Arkansas",2020-03-25,2,280,2,3017804,0.00009278,0.00000066,0
"Arkansas",2020-03-26,3,335,2,3017804,0.00011101,0.00000066,4.45
"Arkansas",2020-03-27,4,381,3,3017804,0.00012625,0.00000099,1.157
"Arkansas",2020-03-28,5,409,5,3017804,0.00013553,0.00000166,0.422
"Arkansas",2020-03-29,6,426,6,3017804,0.00014116,0.00000199,0.172
"Arkansas",2020-03-30,7,473,7,3017804,0.00015674,0.00000232,0.156
"Arkansas",2020-03-31,8,523,8,3017804,0.0001733,0.00000265,0.154
"Arkansas",2020-04-01,9,584,10,3017804,0.00019352,0.00000331,0.166
"Arkansas",2020-04-02,10,643,12,3017804,0.00021307,0.00000398,0.169
"Arkansas",2020-04-03,11,704,12,3017804,0.00023328,0.00000398,0.172
"Arkansas",2020-04-04,12,743,14,3017804,0.00024621,0.00000464,0.16
"Arkansas",2020-04-05,13,837,16,3017804,0.00027735,0.0000053,0.176
"California",2020-03-03,0,0,0,39512223,0,0,NA
"California",2020-03-04,1,35,1,39512223,0.00000089,0.00000003,0
"California",2020-03-05,2,51,1,39512223,0.00000129,0.00000003,0
"California",2020-03-06,3,59,1,39512223,0.00000149,0.00000003,6
"California",2020-03-07,4,81,1,39512223,0.00000205,0.00000003,2.975
"California",2020-03-08,5,95,1,39512223,0.0000024,0.00000003,1.572
"California",2020-03-09,6,101,1,39512223,0.00000256,0.00000003,0.886
"California",2020-03-10,7,144,2,39512223,0.00000364,0.00000005,1.033
"California",2020-03-11,8,178,4,39512223,0.0000045,0.0000001,0.946
"California",2020-03-12,9,221,4,39512223,0.00000559,0.0000001,0.899
"California",2020-03-13,10,281,4,39512223,0.00000711,0.0000001,0.889
"California",2020-03-14,11,372,3,39512223,0.00000941,0.00000008,0.915
"California",2020-03-15,12,373,5,39512223,0.00000944,0.00000013,0.751
"California",2020-03-16,13,557,7,39512223,0.0000141,0.00000018,0.858
"California",2020-03-17,14,700,12,39512223,0.00001772,0.0000003,0.853
"California",2020-03-18,15,828,16,39512223,0.00002096,0.0000004,0.82
"California",2020-03-19,16,1005,18,39512223,0.00002544,0.00000046,0.804
"California",2020-03-20,17,1243,24,39512223,0.00003146,0.00000061,0.799
"California",2020-03-21,18,1405,25,39512223,0.00003556,0.00000063,0.761
"California",2020-03-22,19,1646,30,39512223,0.00004166,0.00000076,0.741
"California",2020-03-23,20,2108,39,39512223,0.00005335,0.00000099,0.753
"California",2020-03-24,21,2538,50,39512223,0.00006423,0.00000127,0.744
"California",2020-03-25,22,2998,65,39512223,0.00007588,0.00000165,0.731
"California",2020-03-26,23,3899,81,39512223,0.00009868,0.00000205,0.746
"California",2020-03-27,24,4657,94,39512223,0.00011786,0.00000238,0.737
"California",2020-03-28,25,5095,110,39512223,0.00012895,0.00000278,0.708
"California",2020-03-29,26,5852,124,39512223,0.00014811,0.00000314,0.694
"California",2020-03-30,27,7138,146,39512223,0.00018065,0.0000037,0.693
"California",2020-03-31,28,8210,173,39512223,0.00020778,0.00000438,0.681
"California",2020-04-01,29,9399,199,39512223,0.00023788,0.00000504,0.669
"California",2020-04-02,30,10773,238,39512223,0.00027265,0.00000602,0.658
"California",2020-04-03,31,12004,265,39512223,0.0003038,0.00000671,0.643
"California",2020-04-04,32,12837,289,39512223,0.00032489,0.00000731,0.623
"California",2020-04-05,33,15034,348,39512223,0.00038049,0.00000881,0.619
"Colorado",2020-03-12,0,0,0,5758736,0,0,NA
"Colorado",2020-03-13,1,76,1,5758736,0.0000132,0.00000017,0
"Colorado",2020-03-15,3,99,1,5758736,0.00001719,0.00000017,0
"Colorado",2020-03-16,4,132,1,5758736,0.00002292,0.00000017,7
"Colorado",2020-03-17,5,167,2,5758736,0.000029,0.00000035,2.625
"Colorado",2020-03-18,6,218,2,5758736,0.00003786,0.00000035,1.803
"Colorado",2020-03-19,7,277,4,5758736,0.0000481,0.00000069,1.428
"Colorado",2020-03-20,8,363,4,5758736,0.00006303,0.00000069,1.305
"Colorado",2020-03-21,9,475,6,5758736,0.00008248,0.00000104,1.236
"Colorado",2020-03-22,10,591,6,5758736,0.00010263,0.00000104,1.135
"Colorado",2020-03-23,11,704,7,5758736,0.00012225,0.00000122,1.025
"Colorado",2020-03-24,12,723,8,5758736,0.00012555,0.00000139,0.834
"Colorado",2020-03-25,13,1021,16,5758736,0.0001773,0.00000278,0.908
"Colorado",2020-03-26,14,1430,19,5758736,0.00024832,0.0000033,0.965
"Colorado",2020-03-27,15,1433,27,5758736,0.00024884,0.00000469,0.824
"Colorado",2020-03-28,16,1740,31,5758736,0.00030215,0.00000538,0.806
"Colorado",2020-03-29,17,2307,47,5758736,0.00040061,0.00000816,0.831
"Colorado",2020-03-30,18,2311,47,5758736,0.0004013,0.00000816,0.739
"Colorado",2020-03-31,19,2966,69,5758736,0.00051504,0.00001198,0.752
"Colorado",2020-04-01,20,2982,69,5758736,0.00051782,0.00001198,0.682
"Colorado",2020-04-02,21,3342,80,5758736,0.00058034,0.00001389,0.656
"Colorado",2020-04-03,22,3742,97,5758736,0.0006498,0.00001684,0.634
"Colorado",2020-04-04,23,4188,111,5758736,0.00072724,0.00001928,0.614
"Colorado",2020-04-05,24,4950,140,5758736,0.00085956,0.00002431,0.61
"Connecticut",2020-03-17,0,0,0,3565287,0,0,NA
"Connecticut",2020-03-18,1,96,1,3565287,0.00002693,0.00000028,0
"Connecticut",2020-03-19,2,159,3,3565287,0.0000446,0.00000084,0
"Connecticut",2020-03-20,3,194,4,3565287,0.00005441,0.00000112,10
"Connecticut",2020-03-21,4,194,4,3565287,0.00005441,0.00000112,2.05
"Connecticut",2020-03-22,5,327,8,3565287,0.00009172,0.00000224,2.5
"Connecticut",2020-03-23,6,415,10,3565287,0.0001164,0.0000028,1.878
"Connecticut",2020-03-24,7,618,12,3565287,0.00017334,0.00000337,1.905
"Connecticut",2020-03-25,8,875,19,3565287,0.00024542,0.00000533,1.838
"Connecticut",2020-03-26,9,1012,21,3565287,0.00028385,0.00000589,1.514
"Connecticut",2020-03-27,10,1291,27,3565287,0.0003621,0.00000757,1.408
"Connecticut",2020-03-28,11,1524,33,3565287,0.00042746,0.00000926,1.26
"Connecticut",2020-03-29,12,1993,34,3565287,0.000559,0.00000954,1.233
"Connecticut",2020-03-30,13,2571,36,3565287,0.00072112,0.0000101,1.203
"Connecticut",2020-03-31,14,3128,69,3565287,0.00087735,0.00001935,1.141
"Connecticut",2020-04-01,15,3557,85,3565287,0.00099768,0.00002384,1.055
"Connecticut",2020-04-02,16,3824,112,3565287,0.00107256,0.00003141,0.958
"Connecticut",2020-04-03,17,4914,131,3565287,0.00137829,0.00003674,0.957
"Connecticut",2020-04-04,18,5276,165,3565287,0.00147982,0.00004628,0.884
"Connecticut",2020-04-05,19,5675,189,3565287,0.00159174,0.00005301,0.823
"Delaware",2020-03-25,0,0,0,973764,0,0,NA
"Delaware",2020-03-26,1,130,1,973764,0.0001335,0.00000103,0
"Delaware",2020-03-27,2,163,2,973764,0.00016739,0.00000205,0
"Delaware",2020-03-28,3,214,5,973764,0.00021977,0.00000513,6
"Delaware",2020-03-29,4,232,6,973764,0.00023825,0.00000616,1.301
"Delaware",2020-03-30,5,264,6,973764,0.00027111,0.00000616,0.653
"Delaware",2020-03-31,6,319,10,973764,0.00032759,0.00001027,0.571
"Delaware",2020-04-01,7,368,11,973764,0.00037791,0.0000113,0.484
"Delaware",2020-04-02,8,393,12,973764,0.00040359,0.00001232,0.367
"Delaware",2020-04-03,9,450,14,973764,0.00046212,0.00001438,0.355
"Delaware",2020-04-04,10,593,14,973764,0.00060898,0.00001438,0.446
"Delaware",2020-04-05,11,673,14,973764,0.00069113,0.00001438,0.426
"District of Columbia",2020-03-19,0,0,0,705749,0,0,NA
"District of Columbia",2020-03-20,1,77,1,705749,0.0001091,0.00000142,0
"District of Columbia",2020-03-22,3,102,2,705749,0.00014453,0.00000283,0
"District of Columbia",2020-03-23,4,120,2,705749,0.00017003,0.00000283,4.775
"District of Columbia",2020-03-24,5,141,2,705749,0.00019979,0.00000283,1.451
"District of Columbia",2020-03-25,6,187,2,705749,0.00026497,0.00000283,1.207
"District of Columbia",2020-03-26,7,231,3,705749,0.00032731,0.00000425,0.976
"District of Columbia",2020-03-27,8,271,3,705749,0.00038399,0.00000425,0.794
"District of Columbia",2020-03-28,9,304,4,705749,0.00043075,0.00000567,0.647
"District of Columbia",2020-03-29,10,342,5,705749,0.00048459,0.00000708,0.563
"District of Columbia",2020-03-30,11,401,9,705749,0.00056819,0.00001275,0.541
"District of Columbia",2020-03-31,12,495,9,705749,0.00070138,0.00001275,0.56
"District of Columbia",2020-04-01,13,586,9,705749,0.00083032,0.00001275,0.552
"District of Columbia",2020-04-02,14,653,12,705749,0.00092526,0.000017,0.517
"District of Columbia",2020-04-03,15,757,15,705749,0.00107262,0.00002125,0.508
"District of Columbia",2020-04-04,16,902,21,705749,0.00127807,0.00002976,0.512
"District of Columbia",2020-04-05,17,1002,22,705749,0.00141977,0.00003117,0.49
"Florida",2020-03-07,0,0,0,21477737,0,0,NA
"Florida",2020-03-08,1,10,2,21477737,0.00000047,0.00000009,0
"Florida",2020-03-09,2,13,2,21477737,0.00000061,0.00000009,0
"Florida",2020-03-10,3,15,2,21477737,0.0000007,0.00000009,4
"Florida",2020-03-11,4,24,2,21477737,0.00000112,0.00000009,3.225
"Florida",2020-03-12,5,30,2,21477737,0.0000014,0.00000009,1.95
"Florida",2020-03-13,6,50,2,21477737,0.00000233,0.00000009,2.275
